name	depth	num_bases_at_depth	size_of_feature	pros_of_A_at_depth
all	506	1675	971256	0.0017246
all	507	1362	971256	0.0014023
all	508	1514	971256	0.0015588
all	509	1323	971256	0.0013622
all	510	1366	971256	0.0014064
all	511	1293	971256	0.0013313
all	512	1313	971256	0.0013519
all	513	1082	971256	0.001114
all	514	1287	971256	0.0013251
all	515	1369	971256	0.0014095
all	516	1211	971256	0.0012468
all	517	1129	971256	0.0011624
all	518	1142	971256	0.0011758
all	519	1376	971256	0.0014167
all	520	1320	971256	0.0013591
all	521	1531	971256	0.0015763
all	522	1213	971256	0.0012489
all	523	1177	971256	0.0012118
all	524	1257	971256	0.0012942
all	525	1248	971256	0.0012849
all	526	1312	971256	0.0013508
all	527	1402	971256	0.0014435
all	528	1367	971256	0.0014075
all	529	1257	971256	0.0012942
all	530	1177	971256	0.0012118
all	531	1185	971256	0.0012201
all	532	1203	971256	0.0012386
all	533	1233	971256	0.0012695
all	534	1092	971256	0.0011243
all	535	1277	971256	0.0013148
all	536	1184	971256	0.001219
all	537	982	971256	0.0010111
all	538	1088	971256	0.0011202
all	539	1082	971256	0.001114
all	540	1226	971256	0.0012623
all	541	1033	971256	0.0010636
all	542	997	971256	0.0010265
all	543	1166	971256	0.0012005
all	544	1131	971256	0.0011645
all	545	1225	971256	0.0012613
all	546	1110	971256	0.0011429
all	547	1209	971256	0.0012448
all	548	1178	971256	0.0012129
all	549	1230	971256	0.0012664
all	550	1341	971256	0.0013807
all	551	1284	971256	0.001322
all	552	1353	971256	0.001393
all	553	1210	971256	0.0012458
all	554	1104	971256	0.0011367
all	555	1120	971256	0.0011531
all	556	1235	971256	0.0012715
all	557	1331	971256	0.0013704
all	558	1363	971256	0.0014033
all	559	1313	971256	0.0013519
all	560	1095	971256	0.0011274
all	561	1133	971256	0.0011665
all	562	992	971256	0.0010214
all	563	1263	971256	0.0013004
all	564	990	971256	0.0010193
all	565	1304	971256	0.0013426
all	566	1357	971256	0.0013972
all	567	1133	971256	0.0011665
all	568	1219	971256	0.0012551
all	569	1118	971256	0.0011511
all	570	1196	971256	0.0012314
all	571	1377	971256	0.0014178
all	572	1193	971256	0.0012283
all	573	1121	971256	0.0011542
all	574	1065	971256	0.0010965
all	575	1119	971256	0.0011521
all	576	1176	971256	0.0012108
all	577	1048	971256	0.001079
all	578	1090	971256	0.0011223
all	579	1165	971256	0.0011995
all	580	1061	971256	0.0010924
all	581	1158	971256	0.0011923
all	582	1315	971256	0.0013539
all	583	1173	971256	0.0012077
all	584	1560	971256	0.0016062
all	585	1323	971256	0.0013622
all	586	1218	971256	0.001254
all	587	1262	971256	0.0012993
all	588	1145	971256	0.0011789
all	589	1213	971256	0.0012489
all	590	1390	971256	0.0014311
all	591	1200	971256	0.0012355
all	592	1450	971256	0.0014929
